Player,No,Jugados,Ganados,Empate,Perdidos,GH,GC,AvgGH,AvgGC
Petruchio,1,63,33,16,14,125,88,2,1.4
Bomb1to,2,60,27,17,16,152,135,2.5,2.3
Inquisitor,3,61,26,19,16,104,82,1.7,1.3
Kodak,4,60,26,13,21,114,111,1.9,1.9
Jekunam,5,58,26,12,20,135,133,2.3,2.3
lion,6,58,23,17,18,146,126,2.5,2.2
dm1trena,7,59,19,23,17,137,131,2.3,2.2
Arcos,8,58,20,20,18,124,123,2.1,2.1
jAke,9,61,23,11,27,110,122,1.8,2
Koftovsky,10,59,22,13,24,117,129,2,2.2
Kray,11,62,20,18,24,117,127,1.9,2
Boulevard,12,61,18,24,19,88,92,1.4,1.5
Calvin,13,61,20,12,29,95,120,1.6,2
Flamingo,14,39,18,9,12,75,64,1.9,1.6
palkan,15,31,19,4,8,73,47,2.4,1.5
Senior,16,29,14,8,7,68,53,2.3,1.8
Shone,17,37,12,9,16,82,75,2.2,2
lowheels,18,28,13,5,10,70,63,2.5,2.3
hotShot,19,40,11,9,20,62,70,1.6,1.8
Bolec,20,36,10,11,15,49,64,1.4,1.8
Menez,21,30,11,7,12,49,52,1.6,1.7
Kravatskhelia,22,31,10,9,12,69,73,2.2,2.4
d1pseN,23,28,11,6,11,69,61,2.5,2.2
Izzy,24,23,8,9,6,38,41,1.7,1.8
WBoy,25,36,7,10,19,79,95,2.2,2.6
SuperMario,26,30,7,10,13,46,52,1.5,1.7
nikkitta,27,27,7,9,11,58,63,2.1,2.3
cl1vlind,28,28,8,6,14,54,69,1.9,2.5
Hotshot,29,22,7,7,8,46,49,2.1,2.2
Glumac,30,23,6,10,7,38,42,1.7,1.8
Sava,31,30,7,6,17,33,50,1.1,1.7
Fratello,32,16,7,4,5,29,25,1.8,1.6
Wboy,33,23,3,7,13,51,75,2.2,3.3
KRaftVK,34,3,2,0,1,4,2,1.3,0.7
MeLToSiK,35,3,2,0,1,3,2,1,0.7
FEARGGWP,36,2,1,0,1,2,1,1,0.5
BlackStar98,37,2,0,0,2,0,4,0,2
